stage,user_raw_input,extracted_value
INJURIES,Dealing with tennis elbow,tennis elbow
INJURIES,Dealing with twisted ankle,twisted ankle
WEIGHT,I weigh 136 lbs,136
CONFIRMATION,That is wrong,no
HEIGHT,I am 189 centimeters,189
EQUIPMENT,I only have kettlebells,kettlebells
ALLERGIES,vegan,vegan
AGE,47,47
ALLERGIES,I have a gluten allergy,gluten
WEIGHT,I weigh 287 lbs,287
GOAL,My goal is to tone up,tone up
WEIGHT,Around 112,112
WEIGHT,259 pounds,259
CONSENT,Go ahead,yes
CONFIRMATION,Perfect,yes
INJURIES,Dealing with twisted ankle,twisted ankle
AGE,I just turned 39,39
ALLERGIES,I am gluten,gluten
WEIGHT,About 185,185
GOAL,I want to lose weight,lose weight
ALLERGIES,I'm allergic to vegans,vegan
WEIGHT,227,227
HEIGHT,186 cm,186
WEIGHT,222 pounds,222
CONFIRMATION,Perfect,yes
GREETING,Yeah let's go,yes
CONFIRMATION,That is wrong,no
EQUIPMENT,I workout at a home gym,home gym
AGE,I'm 41,41
CONFIRMATION,Incorrect,no
AGE,I am 53,53
CONFIRMATION,No,no
CONSENT,Nah,no
INJURIES,I have a shoulder impingement,shoulder impingement
WEIGHT,Around 167,167
CONSENT,I don't consent,no
GREETING,Give me a minute,no
LEVEL,Just a novice,novice
ALLERGIES,I have a shellfish allergy,shellfish
ALLERGIES,I am shellfish,shellfish
GREETING,Give me a minute,no
INJURIES,I have a lower back pain,lower back pain
INJURIES,I have a tennis elbow,tennis elbow
EQUIPMENT,dumbbells,dumbbells
CONFIRMATION,That's right,yes
INJURIES,Nope,none
GREETING,No,no
WEIGHT,179 pounds,179
LEVEL,Just a beginner,beginner
AGE,I am 21 years old,21
EQUIPMENT,I have access to full gym,full gym
WEIGHT,About 209,209
EQUIPMENT,I only have resistance bands,resistance bands
EQUIPMENT,I have access to full gym,full gym
CONFIRMATION,That's right,yes
CONSENT,Yeah that's fine,yes
CONSENT,Nah,no
ALLERGIES,I have a gluten allergy,gluten
AGE,I'm 60,60
CONFIRMATION,Perfect,yes
ALLERGIES,I have a peanut allergy,peanut
AGE,I just turned 20,20
EQUIPMENT,I workout at a bodyweight,bodyweight
WEIGHT,I weigh 197 lbs,197
GREETING,Let's do it,yes
CONSENT,Yes,yes
GOAL,I want to build muscle,build muscle
ALLERGIES,shellfish,shellfish
WEIGHT,106 pounds,106
GOAL,Mainly to get shredded,get shredded
DAYS,About 2 days,2
WEIGHT,Around 192,192
HEIGHT,About 185 cm,185
CONSENT,I don't consent,no
CONSENT,I consent,yes
INJURIES,tennis elbow,tennis elbow
EQUIPMENT,resistance bands,resistance bands
EQUIPMENT,I workout at a bodyweight,bodyweight
LEVEL,I'd say intermediate,intermediate
AGE,I'm 50,50
LEVEL,I am a intermediate,intermediate
CONSENT,I consent,yes
LEVEL,novice,novice
DAYS,I can do 5 days a week,5
CONFIRMATION,That is wrong,no
HEIGHT,About 163 cm,163
EQUIPMENT,I workout at a kettlebells,kettlebells
LEVEL,I'd say intermediate,intermediate
HEIGHT,About 157 cm,157
GOAL,I want to endurance,endurance
INJURIES,My twisted ankle hurts sometimes,twisted ankle
GOAL,Mainly to endurance,endurance
CONSENT,I would rather not,no
HEIGHT,I am 195 centimeters,195
CONFIRMATION,Looks correct,yes
GOAL,My goal is to get shredded,get shredded
HEIGHT,172,172
CONSENT,I would rather not,no
WEIGHT,152 pounds,152
CONSENT,No,no
GREETING,Give me a minute,no
CONFIRMATION,Incorrect,no
WEIGHT,Around 237,237
GOAL,Looking to get shredded,get shredded
AGE,59,59
ALLERGIES,I'm allergic to peanuts,peanut
INJURIES,Dealing with lower back pain,lower back pain
DAYS,About 6 days,6
ALLERGIES,I'm allergic to peanuts,peanut
AGE,I am 60 years old,60
AGE,I just turned 37,37
CONFIRMATION,That's right,yes
ALLERGIES,I'm allergic to peanuts,peanut
LEVEL,I'd say beginner,beginner
AGE,I am 65 years old,65
CONFIRMATION,Looks good,yes
LEVEL,Pretty much a beginner,beginner
AGE,I am 54 years old,54
EQUIPMENT,resistance bands,resistance bands
HEIGHT,I am 193 centimeters,193
INJURIES,Dealing with lower back pain,lower back pain
CONSENT,No,no
GREETING,No,no
AGE,I am 21,21
HEIGHT,188,188
HEIGHT,I am 186 centimeters,186
CONFIRMATION,That is wrong,no
CONSENT,Go ahead,yes
INJURIES,Nope,none
LEVEL,I'd say novice,novice
GOAL,I want to build muscle,build muscle
CONFIRMATION,That's right,yes
CONFIRMATION,That's right,yes
HEIGHT,I am 158 centimeters,158
DAYS,I can do 3 days a week,3
CONFIRMATION,I need to change something,no
WEIGHT,I weigh 300 lbs,300
INJURIES,I have a twisted ankle,twisted ankle
GREETING,No,no
EQUIPMENT,I workout at a bodyweight,bodyweight
WEIGHT,Around 193,193
ALLERGIES,vegan,vegan
CONSENT,Okay,yes
LEVEL,Just a pro,pro
WEIGHT,About 257,257
CONFIRMATION,That is wrong,no
CONSENT,Yes you do,yes
INJURIES,I have a lower back pain,lower back pain
HEIGHT,167,167
CONSENT,Yes,yes
EQUIPMENT,I only have bodyweight,bodyweight
DAYS,6 days,6
CONSENT,Nah,no
GOAL,My goal is to burn fat,burn fat
DAYS,3,3
ALLERGIES,shellfish,shellfish
HEIGHT,190,190
GREETING,No,no
ALLERGIES,I'm allergic to peanuts,peanut
CONSENT,I consent,yes
WEIGHT,221 pounds,221
HEIGHT,About 153 cm,153
CONSENT,Nope,no
CONFIRMATION,Looks correct,yes
CONSENT,I would rather not,no
GREETING,Yes,yes
DAYS,2 days,2
GREETING,Give me a minute,no
CONSENT,Yes,yes
DAYS,About 3 days,3
CONSENT,I would rather not,no
GOAL,Looking to burn fat,burn fat
ALLERGIES,I am gluten,gluten
HEIGHT,I am 191 centimeters,191
ALLERGIES,I eat everything,none
HEIGHT,I am 161 centimeters,161
GOAL,burn fat,burn fat
DAYS,3,3
DAYS,I can do 4 days a week,4
EQUIPMENT,Just home gym,home gym
DAYS,I have 5 days free,5
DAYS,6 days,6
HEIGHT,About 178 cm,178
HEIGHT,183 cm,183
LEVEL,I'd say novice,novice
EQUIPMENT,I have access to full gym,full gym
GOAL,Mainly to build muscle,build muscle
AGE,38,38
AGE,I just turned 56,56
CONSENT,Nah,no
DAYS,2,2
CONFIRMATION,Looks correct,yes
LEVEL,I'd say advanced,advanced
GREETING,I'm ready,yes
ALLERGIES,I'm allergic to peanuts,peanut
ALLERGIES,I am peanut,peanut
GREETING,Let's do it,yes
GOAL,I want to build muscle,build muscle
AGE,I am 52,52
WEIGHT,101 pounds,101
WEIGHT,About 134,134
HEIGHT,156 cm,156
DAYS,I have 4 days free,4
WEIGHT,I am 160 lbs,160
GREETING,Let's do it,yes
GREETING,Ready,yes
INJURIES,twisted ankle,twisted ankle
EQUIPMENT,I workout at a kettlebells,kettlebells
GOAL,Mainly to get shredded,get shredded
INJURIES,tennis elbow,tennis elbow
LEVEL,Just a beginner,beginner
EQUIPMENT,resistance bands,resistance bands
HEIGHT,About 177 cm,177
AGE,I am 53 years old,53
CONFIRMATION,Wait,no
INJURIES,Dealing with tennis elbow,tennis elbow
INJURIES,I have a twisted ankle,twisted ankle
CONSENT,Nah,no
CONSENT,Yes you do,yes
HEIGHT,164,164
DAYS,I have 5 days free,5
HEIGHT,About 181 cm,181
INJURIES,No injuries,none
INJURIES,My lower back pain hurts sometimes,lower back pain
WEIGHT,Around 166,166
HEIGHT,176,176
HEIGHT,165,165
CONSENT,Nope,no
ALLERGIES,Nah,none
INJURIES,I have a twisted ankle,twisted ankle
GREETING,Yes I am,yes
CONFIRMATION,Incorrect,no
INJURIES,Dealing with lower back pain,lower back pain
GOAL,Mainly to build muscle,build muscle
ALLERGIES,I have a shellfish allergy,shellfish
ALLERGIES,I'm allergic to shellfishs,shellfish
WEIGHT,Around 281,281
GREETING,Nah,no
CONFIRMATION,That is wrong,no
GOAL,I want to lose weight,lose weight
WEIGHT,205,205
INJURIES,Dealing with bad knee,bad knee
GOAL,build muscle,build muscle
CONFIRMATION,Incorrect,no
LEVEL,Pretty much a intermediate,intermediate
GREETING,Yes I am,yes
EQUIPMENT,dumbbells,dumbbells
GREETING,Yes I am,yes
AGE,I am 16,16
ALLERGIES,I am shellfish,shellfish
INJURIES,My twisted ankle hurts sometimes,twisted ankle
AGE,I just turned 26,26
INJURIES,I have a lower back pain,lower back pain
GREETING,Nah,no
WEIGHT,169 pounds,169
GREETING,I'm ready,yes
DAYS,6 days,6
DAYS,2 days,2
GOAL,My goal is to lose weight,lose weight
ALLERGIES,lactose intolerant,lactose intolerant
LEVEL,I am a advanced,advanced
CONSENT,No,no
GREETING,Yeah let's go,yes
ALLERGIES,peanut,peanut
GREETING,Not yet,no
EQUIPMENT,I workout at a resistance bands,resistance bands
GREETING,Nah,no
CONFIRMATION,Looks good,yes
CONSENT,Yes you do,yes
INJURIES,None,none
CONFIRMATION,I need to change something,no
INJURIES,My twisted ankle hurts sometimes,twisted ankle
ALLERGIES,I am shellfish,shellfish
DAYS,3 days,3
GOAL,Looking to burn fat,burn fat
EQUIPMENT,I workout at a home gym,home gym
LEVEL,I am a advanced,advanced
GOAL,I want to get shredded,get shredded
CONFIRMATION,That is wrong,no
AGE,I just turned 40,40
GOAL,Looking to endurance,endurance
GOAL,Looking to endurance,endurance
EQUIPMENT,I have access to bodyweight,bodyweight
CONFIRMATION,Yes,yes
INJURIES,My bad knee hurts sometimes,bad knee
GREETING,Absolutely,yes
ALLERGIES,I am gluten,gluten
GOAL,I want to build muscle,build muscle
EQUIPMENT,I have access to dumbbells,dumbbells
INJURIES,lower back pain,lower back pain
AGE,50,50
GOAL,Looking to endurance,endurance
GREETING,Yeah let's go,yes
ALLERGIES,shellfish,shellfish
WEIGHT,I am 181 lbs,181
HEIGHT,I am 168 centimeters,168
INJURIES,lower back pain,lower back pain
GOAL,I want to lose weight,lose weight
EQUIPMENT,I workout at a kettlebells,kettlebells
GOAL,Mainly to endurance,endurance
EQUIPMENT,I have access to full gym,full gym
GREETING,Yes I am,yes
WEIGHT,About 127,127
HEIGHT,174,174
EQUIPMENT,I workout at a resistance bands,resistance bands
LEVEL,advanced,advanced
HEIGHT,About 192 cm,192
WEIGHT,103,103
CONFIRMATION,Wait,no
CONSENT,Yes you do,yes
CONSENT,Okay,yes
GREETING,Yeah let's go,yes
LEVEL,advanced,advanced
CONFIRMATION,Incorrect,no
GREETING,No,no
LEVEL,Pretty much a pro,pro
LEVEL,pro,pro
AGE,I'm 28,28
LEVEL,Pretty much a advanced,advanced
CONFIRMATION,That is wrong,no
WEIGHT,Around 265,265
ALLERGIES,I eat everything,none
INJURIES,Dealing with twisted ankle,twisted ankle
WEIGHT,About 187,187
CONFIRMATION,Yes,yes
ALLERGIES,I'm allergic to shellfishs,shellfish
ALLERGIES,I am shellfish,shellfish
GREETING,Nah,no
CONSENT,Nope,no
DAYS,I have 6 days free,6
CONSENT,Nah,no
GOAL,get shredded,get shredded
GOAL,endurance,endurance
DAYS,I can do 2 days a week,2
CONSENT,Nope,no
INJURIES,I have a tennis elbow,tennis elbow
INJURIES,twisted ankle,twisted ankle
HEIGHT,167 cm,167
DAYS,I can do 4 days a week,4
WEIGHT,I am 243 lbs,243
LEVEL,novice,novice
WEIGHT,About 257,257
GREETING,Not ready,no
HEIGHT,180 cm,180
LEVEL,beginner,beginner
ALLERGIES,gluten,gluten
ALLERGIES,I have a gluten allergy,gluten
AGE,I'm 45,45
WEIGHT,Around 104,104
LEVEL,Just a novice,novice
GREETING,Nah,no
AGE,I just turned 50,50
GREETING,Not yet,no
GOAL,My goal is to get shredded,get shredded
HEIGHT,169,169
INJURIES,My twisted ankle hurts sometimes,twisted ankle
GOAL,My goal is to build muscle,build muscle
ALLERGIES,I am vegan,vegan
CONFIRMATION,Wait,no
ALLERGIES,I am shellfish,shellfish
GOAL,Mainly to burn fat,burn fat
INJURIES,twisted ankle,twisted ankle
INJURIES,I have a shoulder impingement,shoulder impingement
GREETING,Yes,yes
GOAL,I want to get shredded,get shredded
GOAL,My goal is to burn fat,burn fat
GOAL,Mainly to burn fat,burn fat
CONSENT,No,no
WEIGHT,I am 260 lbs,260
GOAL,My goal is to burn fat,burn fat
DAYS,4,4
WEIGHT,180 pounds,180
ALLERGIES,lactose intolerant,lactose intolerant
ALLERGIES,None,none
AGE,I'm 52,52
CONFIRMATION,Looks good,yes
EQUIPMENT,I have access to resistance bands,resistance bands
EQUIPMENT,I have access to kettlebells,kettlebells
CONFIRMATION,Incorrect,no
CONFIRMATION,Looks correct,yes
GOAL,Looking to lose weight,lose weight
INJURIES,I have a tennis elbow,tennis elbow
ALLERGIES,lactose intolerant,lactose intolerant
CONSENT,Nah,no
LEVEL,I'd say beginner,beginner
CONSENT,No,no
GREETING,Absolutely,yes
HEIGHT,I am 159 centimeters,159
AGE,I'm 46,46
HEIGHT,I am 188 centimeters,188
LEVEL,I'd say novice,novice
GREETING,Give me a minute,no
ALLERGIES,I am lactose intolerant,lactose intolerant
WEIGHT,205,205
GREETING,No,no
LEVEL,I am a pro,pro
LEVEL,I'd say pro,pro
GOAL,Mainly to lose weight,lose weight
AGE,I am 47,47
HEIGHT,194 cm,194
GOAL,Looking to get shredded,get shredded
CONSENT,I would rather not,no
GOAL,Mainly to build muscle,build muscle
HEIGHT,155,155
GOAL,Looking to lose weight,lose weight
INJURIES,tennis elbow,tennis elbow
HEIGHT,175,175
INJURIES,My shoulder impingement hurts sometimes,shoulder impingement
HEIGHT,About 181 cm,181
LEVEL,novice,novice
HEIGHT,About 150 cm,150
HEIGHT,159,159
LEVEL,I am a intermediate,intermediate
CONSENT,Yes you do,yes
AGE,25,25
AGE,I just turned 45,45
HEIGHT,165 cm,165
AGE,I am 61,61
AGE,I just turned 16,16
DAYS,6 days,6
CONSENT,Yes,yes
DAYS,6,6
ALLERGIES,I'm allergic to shellfishs,shellfish
EQUIPMENT,home gym,home gym
CONFIRMATION,Incorrect,no
INJURIES,shoulder impingement,shoulder impingement
AGE,I am 41 years old,41
EQUIPMENT,I have access to resistance bands,resistance bands
CONSENT,Yes,yes
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
INJURIES,I have a lower back pain,lower back pain
GOAL,Mainly to build muscle,build muscle
CONFIRMATION,Wait,no
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
CONSENT,Yes you do,yes
WEIGHT,Around 148,148
LEVEL,Just a pro,pro
DAYS,I have 5 days free,5
WEIGHT,I am 166 lbs,166
ALLERGIES,I am peanut,peanut
EQUIPMENT,resistance bands,resistance bands
DAYS,2 days,2
GOAL,I want to burn fat,burn fat
HEIGHT,I am 161 centimeters,161
GREETING,Absolutely,yes
CONSENT,Yeah that's fine,yes
GOAL,get shredded,get shredded
HEIGHT,151,151
LEVEL,intermediate,intermediate
CONFIRMATION,No,no
AGE,61,61
AGE,I'm 58,58
HEIGHT,About 164 cm,164
HEIGHT,175 cm,175
AGE,I am 64 years old,64
HEIGHT,179 cm,179
CONSENT,Yes you do,yes
GOAL,My goal is to get shredded,get shredded
DAYS,I have 3 days free,3
WEIGHT,I am 217 lbs,217
DAYS,2,2
HEIGHT,I am 189 centimeters,189
WEIGHT,289 pounds,289
WEIGHT,I am 112 lbs,112
CONSENT,Okay,yes
DAYS,3,3
CONSENT,I would rather not,no
WEIGHT,Around 251,251
GOAL,Mainly to build muscle,build muscle
CONFIRMATION,Looks correct,yes
CONFIRMATION,Looks correct,yes
LEVEL,I'd say novice,novice
LEVEL,I am a novice,novice
HEIGHT,182 cm,182
HEIGHT,182,182
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
EQUIPMENT,I only have bodyweight,bodyweight
WEIGHT,I weigh 177 lbs,177
WEIGHT,I weigh 139 lbs,139
HEIGHT,About 161 cm,161
CONSENT,Yes,yes
DAYS,About 2 days,2
ALLERGIES,vegan,vegan
ALLERGIES,I am peanut,peanut
LEVEL,Pretty much a pro,pro
INJURIES,My tennis elbow hurts sometimes,tennis elbow
HEIGHT,162 cm,162
WEIGHT,272 pounds,272
CONSENT,Yes,yes
DAYS,2 days,2
GOAL,Looking to build muscle,build muscle
INJURIES,I have a tennis elbow,tennis elbow
LEVEL,Pretty much a advanced,advanced
CONFIRMATION,Go ahead,yes
ALLERGIES,I have a vegan allergy,vegan
LEVEL,Pretty much a novice,novice
CONSENT,Yes you do,yes
GREETING,Not ready,no
WEIGHT,I am 170 lbs,170
ALLERGIES,lactose intolerant,lactose intolerant
GREETING,No,no
ALLERGIES,I have a gluten allergy,gluten
CONFIRMATION,Perfect,yes
CONFIRMATION,Generate it,yes
LEVEL,advanced,advanced
LEVEL,Just a novice,novice
LEVEL,I am a intermediate,intermediate
ALLERGIES,gluten,gluten
EQUIPMENT,Just full gym,full gym
HEIGHT,About 187 cm,187
DAYS,6 days,6
LEVEL,beginner,beginner
HEIGHT,193,193
INJURIES,I'm perfectly healthy,none
DAYS,About 5 days,5
INJURIES,I have a bad knee,bad knee
LEVEL,novice,novice
EQUIPMENT,full gym,full gym
LEVEL,Pretty much a beginner,beginner
DAYS,4,4
AGE,I'm 57,57
WEIGHT,Around 113,113
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
ALLERGIES,I'm allergic to vegans,vegan
EQUIPMENT,I workout at a dumbbells,dumbbells
AGE,I am 60 years old,60
WEIGHT,About 210,210
INJURIES,My tennis elbow hurts sometimes,tennis elbow
GREETING,I'm ready,yes
DAYS,About 5 days,5
LEVEL,Just a beginner,beginner
CONSENT,Go ahead,yes
GREETING,Not ready,no
CONFIRMATION,Perfect,yes
CONSENT,Yeah that's fine,yes
GREETING,Give me a minute,no
WEIGHT,I weigh 140 lbs,140
HEIGHT,About 186 cm,186
EQUIPMENT,I have access to resistance bands,resistance bands
LEVEL,I'd say pro,pro
CONFIRMATION,Wait,no
CONFIRMATION,Incorrect,no
GOAL,Looking to lose weight,lose weight
GREETING,Yeah let's go,yes
INJURIES,I have a lower back pain,lower back pain
GOAL,Looking to get shredded,get shredded
GREETING,I'm ready,yes
ALLERGIES,I am vegan,vegan
LEVEL,Pretty much a beginner,beginner
LEVEL,novice,novice
HEIGHT,187,187
GOAL,Looking to get shredded,get shredded
WEIGHT,208,208
AGE,I am 50,50
HEIGHT,176,176
INJURIES,Dealing with shoulder impingement,shoulder impingement
ALLERGIES,peanut,peanut
GOAL,Looking to build muscle,build muscle
HEIGHT,About 158 cm,158
WEIGHT,236 pounds,236
CONSENT,Nah,no
CONFIRMATION,Looks good,yes
GREETING,Nah,no
INJURIES,I have a twisted ankle,twisted ankle
EQUIPMENT,full gym,full gym
ALLERGIES,I'm allergic to vegans,vegan
AGE,I am 57,57
AGE,I am 25,25
WEIGHT,I am 136 lbs,136
INJURIES,I have a lower back pain,lower back pain
LEVEL,I am a beginner,beginner
WEIGHT,181,181
GOAL,Looking to endurance,endurance
WEIGHT,I weigh 249 lbs,249
GREETING,Let's do it,yes
CONSENT,Yeah that's fine,yes
GOAL,I want to lose weight,lose weight
LEVEL,Pretty much a beginner,beginner
WEIGHT,Around 250,250
WEIGHT,183 pounds,183
DAYS,About 6 days,6
CONFIRMATION,That's right,yes
WEIGHT,About 249,249
LEVEL,pro,pro
CONSENT,I would rather not,no
ALLERGIES,I have a lactose intolerant allergy,lactose intolerant
GOAL,My goal is to tone up,tone up
EQUIPMENT,home gym,home gym
CONFIRMATION,Wait,no
HEIGHT,I am 165 centimeters,165
CONFIRMATION,Incorrect,no
CONFIRMATION,Perfect,yes
AGE,16,16
LEVEL,Just a intermediate,intermediate
DAYS,About 3 days,3
CONSENT,I consent,yes
ALLERGIES,I am shellfish,shellfish
LEVEL,intermediate,intermediate
CONFIRMATION,Wait,no
LEVEL,Pretty much a beginner,beginner
WEIGHT,267 pounds,267
AGE,60,60
LEVEL,I am a pro,pro
EQUIPMENT,I have access to full gym,full gym
INJURIES,My twisted ankle hurts sometimes,twisted ankle
INJURIES,Dealing with bad knee,bad knee
LEVEL,I am a advanced,advanced
GOAL,burn fat,burn fat
EQUIPMENT,I only have full gym,full gym
GREETING,Yeah let's go,yes
DAYS,4,4
GOAL,Mainly to tone up,tone up
WEIGHT,I weigh 117 lbs,117
INJURIES,I have a twisted ankle,twisted ankle
DAYS,I have 3 days free,3
INJURIES,shoulder impingement,shoulder impingement
GOAL,burn fat,burn fat
AGE,I'm 53,53
HEIGHT,178 cm,178
HEIGHT,191,191
AGE,I am 46,46
GREETING,Not yet,no
ALLERGIES,I'm allergic to vegans,vegan
GREETING,No,no
HEIGHT,179,179
HEIGHT,About 161 cm,161
INJURIES,My bad knee hurts sometimes,bad knee
GREETING,Not yet,no
HEIGHT,About 153 cm,153
HEIGHT,170 cm,170
DAYS,About 5 days,5
GREETING,Not ready,no
WEIGHT,112,112
WEIGHT,I am 229 lbs,229
GREETING,No,no
GREETING,Give me a minute,no
CONFIRMATION,Incorrect,no
EQUIPMENT,I have access to kettlebells,kettlebells
DAYS,3,3
ALLERGIES,I am peanut,peanut
AGE,I am 30,30
DAYS,I have 3 days free,3
HEIGHT,188 cm,188
LEVEL,I am a novice,novice
CONFIRMATION,Yes,yes
HEIGHT,150,150
GREETING,Give me a minute,no
EQUIPMENT,I workout at a full gym,full gym
EQUIPMENT,I only have bodyweight,bodyweight
CONFIRMATION,Incorrect,no
CONSENT,I would rather not,no
LEVEL,Just a beginner,beginner
EQUIPMENT,I only have home gym,home gym
CONSENT,I consent,yes
HEIGHT,I am 173 centimeters,173
INJURIES,I have a shoulder impingement,shoulder impingement
WEIGHT,About 198,198
GREETING,Let's do it,yes
DAYS,I have 5 days free,5
HEIGHT,178,178
GREETING,No,no
GREETING,Let's do it,yes
GREETING,Nah,no
INJURIES,lower back pain,lower back pain
AGE,I just turned 56,56
GOAL,burn fat,burn fat
AGE,I'm 18,18
GOAL,My goal is to tone up,tone up
CONFIRMATION,That's right,yes
GREETING,Give me a minute,no
LEVEL,I'd say advanced,advanced
HEIGHT,159 cm,159
ALLERGIES,I am vegan,vegan
GREETING,I'm ready,yes
EQUIPMENT,dumbbells,dumbbells
EQUIPMENT,I have access to bodyweight,bodyweight
INJURIES,I have a twisted ankle,twisted ankle
AGE,22,22
WEIGHT,178,178
ALLERGIES,gluten,gluten
AGE,I just turned 27,27
GREETING,Not ready,no
ALLERGIES,I have a gluten allergy,gluten
EQUIPMENT,I workout at a dumbbells,dumbbells
WEIGHT,257 pounds,257
LEVEL,Pretty much a intermediate,intermediate
AGE,I am 37,37
EQUIPMENT,I only have resistance bands,resistance bands
DAYS,I can do 6 days a week,6
HEIGHT,175,175
AGE,I'm 47,47
WEIGHT,172,172
GREETING,No,no
INJURIES,bad knee,bad knee
DAYS,3,3
DAYS,About 5 days,5
HEIGHT,190,190
DAYS,2 days,2
GOAL,I want to get shredded,get shredded
AGE,I just turned 40,40
HEIGHT,About 171 cm,171
CONSENT,Yeah that's fine,yes
GREETING,Nah,no
ALLERGIES,gluten,gluten
WEIGHT,Around 247,247
GREETING,Let's do it,yes
ALLERGIES,lactose intolerant,lactose intolerant
GOAL,Mainly to build muscle,build muscle
ALLERGIES,I am vegan,vegan
CONFIRMATION,Generate it,yes
HEIGHT,158 cm,158
WEIGHT,I am 177 lbs,177
LEVEL,I'd say intermediate,intermediate
WEIGHT,Around 238,238
GREETING,Ready,yes
CONFIRMATION,Wait,no
EQUIPMENT,I have access to bodyweight,bodyweight
HEIGHT,I am 156 centimeters,156
CONFIRMATION,Perfect,yes
CONSENT,I don't consent,no
INJURIES,My bad knee hurts sometimes,bad knee
EQUIPMENT,Just home gym,home gym
AGE,I'm 32,32
EQUIPMENT,home gym,home gym
INJURIES,My twisted ankle hurts sometimes,twisted ankle
GREETING,Nah,no
INJURIES,Dealing with lower back pain,lower back pain
GREETING,Ready,yes
LEVEL,Just a beginner,beginner
CONSENT,Okay,yes
GREETING,Let's do it,yes
EQUIPMENT,Just home gym,home gym
ALLERGIES,I have a peanut allergy,peanut
GOAL,I want to get shredded,get shredded
CONFIRMATION,Go ahead,yes
ALLERGIES,Nah,none
WEIGHT,I am 283 lbs,283
CONSENT,I consent,yes
GOAL,I want to endurance,endurance
CONFIRMATION,I need to change something,no
GREETING,Yes,yes
AGE,I am 31 years old,31
AGE,I am 42,42
GOAL,Looking to tone up,tone up
CONFIRMATION,That is wrong,no
INJURIES,I have a tennis elbow,tennis elbow
DAYS,6 days,6
GOAL,I want to build muscle,build muscle
GOAL,tone up,tone up
EQUIPMENT,I have access to resistance bands,resistance bands
INJURIES,I have a shoulder impingement,shoulder impingement
EQUIPMENT,I only have full gym,full gym
DAYS,2 days,2
AGE,65,65
INJURIES,lower back pain,lower back pain
LEVEL,Just a pro,pro
WEIGHT,117 pounds,117
WEIGHT,244,244
CONFIRMATION,Perfect,yes
INJURIES,I have a lower back pain,lower back pain
DAYS,6,6
HEIGHT,I am 182 centimeters,182
HEIGHT,I am 179 centimeters,179
CONFIRMATION,Yes,yes
WEIGHT,251,251
CONFIRMATION,Looks correct,yes
CONFIRMATION,No,no
CONSENT,Nah,no
CONFIRMATION,That is wrong,no
GREETING,Nah,no
LEVEL,I am a novice,novice
ALLERGIES,None,none
INJURIES,bad knee,bad knee
AGE,I just turned 53,53
EQUIPMENT,I workout at a full gym,full gym
INJURIES,Dealing with shoulder impingement,shoulder impingement
CONSENT,Sure,yes
LEVEL,pro,pro
HEIGHT,About 153 cm,153
WEIGHT,Around 295,295
HEIGHT,I am 153 centimeters,153
WEIGHT,I weigh 209 lbs,209
EQUIPMENT,full gym,full gym
HEIGHT,185,185
WEIGHT,197,197
DAYS,3,3
GREETING,Give me a minute,no
AGE,I am 40 years old,40
LEVEL,I am a novice,novice
DAYS,About 6 days,6
HEIGHT,I am 180 centimeters,180
HEIGHT,I am 190 centimeters,190
LEVEL,Just a beginner,beginner
LEVEL,I am a beginner,beginner
INJURIES,lower back pain,lower back pain
LEVEL,advanced,advanced
DAYS,I can do 2 days a week,2
ALLERGIES,I am lactose intolerant,lactose intolerant
GREETING,Give me a minute,no
LEVEL,intermediate,intermediate
EQUIPMENT,I workout at a full gym,full gym
DAYS,5,5
GREETING,Give me a minute,no
EQUIPMENT,I have access to dumbbells,dumbbells
GOAL,burn fat,burn fat
INJURIES,lower back pain,lower back pain
LEVEL,I'd say intermediate,intermediate
WEIGHT,I weigh 253 lbs,253
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
WEIGHT,100 pounds,100
CONSENT,Sure,yes
HEIGHT,159,159
INJURIES,Nope,none
DAYS,2,2
HEIGHT,I am 163 centimeters,163
GOAL,lose weight,lose weight
LEVEL,I am a novice,novice
AGE,I am 37 years old,37
HEIGHT,151 cm,151
HEIGHT,184 cm,184
GREETING,Not yet,no
CONSENT,No,no
DAYS,I can do 2 days a week,2
GOAL,Mainly to get shredded,get shredded
CONFIRMATION,Wait,no
GREETING,Yes I am,yes
CONFIRMATION,Incorrect,no
GOAL,Mainly to get shredded,get shredded
HEIGHT,I am 189 centimeters,189
CONSENT,I would rather not,no
AGE,I am 49 years old,49
CONFIRMATION,Incorrect,no
EQUIPMENT,I have access to full gym,full gym
CONSENT,Sure,yes
GOAL,Looking to get shredded,get shredded
ALLERGIES,No allergies,none
HEIGHT,I am 175 centimeters,175
GREETING,Let's do it,yes
EQUIPMENT,I only have home gym,home gym
GREETING,No,no
AGE,16,16
CONSENT,I would rather not,no
CONSENT,Nah,no
EQUIPMENT,I have access to dumbbells,dumbbells
DAYS,About 5 days,5
CONFIRMATION,Looks good,yes
CONSENT,Okay,yes
INJURIES,My tennis elbow hurts sometimes,tennis elbow
LEVEL,intermediate,intermediate
HEIGHT,I am 160 centimeters,160
EQUIPMENT,I workout at a kettlebells,kettlebells
EQUIPMENT,Just full gym,full gym
CONFIRMATION,Go ahead,yes
